byte,count
0,2761
1,0
2,0
3,0
4,33
5,0
6,0
7,0
8,69
9,0
10,0
11,0
12,7
13,0
14,0
15,0
16,29
17,0
18,0
19,0
20,145
21,0
22,0
23,0
24,2
25,0
26,0
27,0
28,50
29,0
30,0
31,0
32,1215
33,0
34,0
35,0
36,8
37,0
38,0
39,0
40,189
41,0
42,0
43,0
44,60073
45,0
46,0
47,0
48,39
49,0
50,0
51,0
52,85
53,0
54,0
55,0
56,8
57,0
58,0
59,0
60,27
61,0
62,0
63,0
64,74
65,0
66,0
67,0
68,10
69,0
70,0
71,0
72,28
73,0
74,0
75,0
76,327
77,0
78,0
79,0
80,7
81,0
82,0
83,0
84,164
85,0
86,0
87,0
88,3832
89,0
90,0
91,0
92,15
93,0
94,0
95,0
96,73
97,0
98,0
99,0
100,7291245
101,0
102,0
103,0
104,32
105,0
106,0
107,0
108,63
109,0
110,0
111,0
112,17
113,0
114,0
115,0
116,26
117,0
118,0
119,0
120,126
121,0
122,0
123,0
124,14
125,0
126,0
127,0
128,33
129,0
130,0
131,0
132,763
133,0
134,0
135,0
136,11
137,0
138,0
139,0
140,229
141,0
142,0
143,0
144,13861
145,0
146,0
147,0
148,25
149,0
150,0
151,0
152,81
153,0
154,0
155,0
156,10
157,0
158,0
159,0
160,22
161,0
162,0
163,0
164,74
165,0
166,0
167,0
168,7
169,0
170,0
171,0
172,21
173,0
174,0
175,0
176,263
177,0
178,0
179,0
180,11
181,0
182,0
183,0
184,140
185,0
186,0
187,0
188,2045
189,0
190,0
191,0
192,18
193,0
194,0
195,0
196,164
197,0
198,0
199,0
200,2611779
201,0
202,0
203,0
204,19
205,0
206,0
207,0
208,87
209,0
210,0
211,0
212,8
213,0
214,0
215,0
216,29
217,0
218,0
219,0
220,101
221,0
222,0
223,0
224,8
225,0
226,0
227,0
228,24
229,0
230,0
231,0
232,525
233,0
234,0
235,0
236,10
237,0
238,0
239,0
240,202
241,0
242,0
243,0
244,8572
245,0
246,0
247,0
248,9
249,0
250,0
251,0
252,56
253,0
254,0
255,0
